Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)",last_updated
February,2023,CPCL-TOTAL,927.88,2023-08-19
February,2023,"NRL-NUMALIGARH, ASSAM",244.06,2023-08-19
March,2023,"IOCL-PANIPAT, HARYANA",1297.96,2023-08-19
March,2023,"IOCL-GUWAHATI,ASSAM",96.81,2023-08-19
March,2023,"IOCL-DIGBOI,ASSAM",59.40,2023-08-19
March,2023,BORL-BINA,735.71,2023-08-19
March,2023,"NRL-NUMALIGARH, ASSAM",205.02,2023-08-19
March,2023,"RIL,JAMNAGAR,GUJARAT",2822.16,2023-08-19
March,2023,"RIL TOTAL",5359.75,2023-08-19
March,2023,"GRAND TOTAL",23003.61,2023-08-19
April,2021,"IOCL-BARAUNI,BIHAR",471.00,2023-08-19
April,2021,"IOCL-HALDIA, WEST BENGAL",696.00,2023-08-19
April,2021,"BPCL-MUMBAI, MAHARASHTRA",1225.00,2023-08-19
April,2021,"BPCL-KOCHI, KERALA",1363.00,2023-08-19
April,2021,"MRPL-MANGALORE,KARNATAKA",1100.00,2023-08-19
April,2021,"HPCL-MUMBAI,MAHARASHTRA",41.00,2023-08-19
April,2021,"RIL TOTAL",5021.00,2023-08-19
May,2021,"IOCL-BARAUNI,BIHAR",533.00,2023-08-19
May,2021,"IOCL-KOYALI, GUJARAT",1042.00,2023-08-19
May,2021,"IOCL-BONGAIGAON,ASSAM",227.00,2023-08-19
May,2021,"IOCL-PARADIP,ODISHA",1045.00,2023-08-19
May,2021,BORL-BINA,519.00,2023-08-19
May,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
May,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1102.00,2023-08-19
July,2022,BPCL-TOTAL,2699.54,2023-08-19
July,2022,"RIL TOTAL",5482.43,2023-08-19
July,2022,"NEL-VADINAR,GUJARAT",1734.80,2023-08-19
July,2022,"GRAND TOTAL",21423.24,2023-08-19
August,2022,"IOCL-MATHURA, UTTAR PRADESH",649.60,2023-08-19
August,2022,"IOCL-PARADIP,ODISHA",2.10,2023-08-19
August,2022,"IOCL TOTAL",4836.86,2023-08-19
